Clave de incidencia,Nombre del proyecto,Tipo de proyecto,Resumen,Descripción,Tipo de Incidencia,Principal,Parent summary,Story Points,Creada,Paso a Done
1174761,Tribu API Canales y transaccional producto,software,Dado que: Necesito la creación de un nuevo puerto Cuando: Se realiza validación de CVV y Pin a travÃ©s de los canales digitales Entonces: Espero que se separen las implementaciones a partir de este nuevo puerto,,Criterio de aceptación,1150940,Configuración nuevo puerto para validación CVV y Pin,,05/03/2025 00:03,
1174760,Tribu API Canales y transaccional producto,software,Dado que: Necesito la creación de un nuevo puerto Cuando: Se realiza validación de CVV y Pin a travÃ©s de los canales digitales Entonces: Espero que el nuevo puerto sea configurado,,Criterio de aceptación,1150940,Configuración nuevo puerto para validación CVV y Pin,,05/03/2025 00:02,
1171207,Tribu API Canales y transaccional producto,software,Que los registros dentro de cada archivo queden unificados y organizados por fecha,,Criterio de aceptación,1141130,148 - Cambio de clave - Cajeros - Desarrollo de unificacion y ordenamiento (4 Archivos Novedades),,03/03/2025 14:00,
1171205,Tribu API Canales y transaccional producto,software,"Que cada archivo quede nombrado con la fecha en formato aÃ±o, mes dÃ­a como sufijo, antes de la extensión",,Criterio de aceptación,1141130,148 - Cambio de clave - Cajeros - Desarrollo de unificacion y ordenamiento (4 Archivos Novedades),,03/03/2025 13:59,
1171203,Tribu API Canales y transaccional producto,software,"Que se permita generar los 4 archivos: Novedades, bloqueo, activación y activación cafetera",,Criterio de aceptación,1141130,148 - Cambio de clave - Cajeros - Desarrollo de unificacion y ordenamiento (4 Archivos Novedades),,03/03/2025 13:49,
1169715,Tribu API Canales y transaccional producto,software,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo  No deben existir trxs realizadas en el Canal  interno M.E. (Medios Electronicos) entonces se deben informar porque estas trxs se deben reportar en el archivo RECME",,Criterio de aceptación,1090015,Implementación validar archivo RECCB este completo ,,28/02/2025 15:14,03/03/2025 18:15
1169714,Tribu API Canales y transaccional producto,software,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo con las trxs realizadas en el Canal  C. B. entonces se deben identificar que las trxs  Cara Debito No bajen al archivo RECCB",,Criterio de aceptación,1090015,Implementación validar archivo RECCB este completo ,,28/02/2025 15:14,03/03/2025 18:15
1169713,Tribu API Canales y transaccional producto,software,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo con las trxs realizadas en el Canal  C. B. entonces se deben identificar que las trxs  Cara CrÃ©dito bajen al archivo RECCB",,Criterio de aceptación,1090015,Implementación validar archivo RECCB este completo ,,28/02/2025 15:14,03/03/2025 18:15
1168922,Tribu API Canales y transaccional producto,software,Que se realice la comparación adecuadamente con el archivo generado,"Dado que: Necesito que se genere y transmita el archivo RECCB de forma consistente
Cuando: Se realiza el envÃ­o del archivo hacia liquidador
Entonces: Espero que se realice la comparación adecuadamente con el archivo generado",Criterio de aceptación,1090015,Implementación validar archivo RECCB este completo ,,27/02/2025 22:48,
1168921,Tribu API Canales y transaccional producto,software,Que exista jar que realiza el conteo de registros en la vista que genera el archivo RECCB,"Dado que: Necesito que se genere y transmita el archivo RECCB de forma consistente

Cuando: Se realiza el envÃ­o del archivo hacia liquidador

Entonces: Espero que exista un Jar que realice el conteo de registros en la vista que genera el archivo RECCB",Criterio de aceptación,1090015,Implementación validar archivo RECCB este completo ,,27/02/2025 22:45,
1168920,Tribu API Canales y transaccional producto,software,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que queden los archivos en la ruta esperada para realizar el respectivo cargue,,Criterio de aceptación,1168918,HU[H] - Ajuste malla transmisión archivos para Emisor TC,,27/02/2025 22:30,
1168919,Tribu API Canales y transaccional producto,software,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que se envÃ­en los 13 archivos al servidor de Portal en una ruta diferente a la de refresco TD,,Criterio de aceptación,1168918,HU[H] - Ajuste malla transmisión archivos para Emisor TC,,27/02/2025 22:30,
