Clave de incidencia,Nombre del proyecto,Resumen,Descripción,Tipo de Incidencia,Principal,Story Point,Creada,Paso a Done,j.10% Título descriptivo,k.10% Claridad y consistencia,l.10% Estándar JIT,m.20% Uso de Gherkin,n.10% Criterios SMART,o.10% Segmentación INVEST,p.5% Revisión colaborativa,q.10% Seguimiento y ajustes,r.5% Prioridad y valor,s.5% Documentación adecuada,t.5% Uso de plantilla estándar,v. Suma de checklist,Tipo Normalizado,Explicación Título descriptivo,Explicación Claridad y consistencia,Explicación Uso de Gherkin,Explicación Criterios SMART,Explicación Segmentación INVEST,Explicación Uso de plantilla estándar
1174761,Tribu API Canales y transaccional producto,Dado que: Necesito la creación de un nuevo puerto Cuando: Se realiza validación de CVV y Pin a travÃ©s de los canales digitales Entonces: Espero que se separen las implementaciones a partir de este nuevo puerto,,Criterio de aceptación,1150940,,05/03/2025 00:03,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. Este texto no está en formato Gherkin ya que no sigue la estructura de Given/When/Then de forma clara. Se mencionan los elementos ""Dado/Cuando/Entonces"" pero no se presentan de manera ordenada y coherente. Además, falta la descripción de un escenario específico que se pueda probar. Por lo tanto, no cumple con los requisitos de un caso de prueba en Gherkin.","SÍ cumple SMART. Respuesta LLM: Sí. Es un criterio SMART.
- Específico: Se refiere a la creación de un nuevo puerto y la separación de implementaciones a partir de este.
- Medible: Se puede medir si se han realizado la validación de CVV y Pin a través de los canales digitales y si se han separado las implementaciones.
- Alcanzable: Es un objetivo alcanzable, ya que se trata de una acción específica.
-",,
1174760,Tribu API Canales y transaccional producto,Dado que: Necesito la creación de un nuevo puerto Cuando: Se realiza validación de CVV y Pin a travÃ©s de los canales digitales Entonces: Espero que el nuevo puerto sea configurado,,Criterio de aceptación,1150940,,05/03/2025 00:02,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin, ya que no sigue la estructura de Given/When/Then de manera clara y concisa. Se mencionan los elementos ""Dado"" y ""Cuando"", pero no se presenta claramente la acción a realizar en el ""Entonces"". Además, la redacción es confusa y no se indica claramente la relación causa-efecto entre los elementos.","SÍ cumple SMART. Respuesta LLM: Sí. 

- Específico: El criterio es específico al mencionar que se necesita la creación de un nuevo puerto con la validación de CVV y Pin a través de los canales digitales.
- Medible: Se puede medir si se ha cumplido o no la creación del nuevo puerto con la validación de CVV y Pin.
- Alcanzable: Es factible crear un nuevo puerto con estos requerimientos.
- Relev",,
1171207,Tribu API Canales y transaccional producto,Que los registros dentro de cada archivo queden unificados y organizados por fecha,,Criterio de aceptación,1141130,,03/03/2025 14:00,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. 

El texto proporcionado es una instrucción general y no sigue el formato de Given/When/Then. En el formato Gherkin, se describen escenarios concretos que siguen la estructura Given (Dado), When (Cuando) y Then (Entonces).","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART.

- Específico: Se centra en un objetivo concreto, que es unificar y organizar los registros por fecha dentro de cada archivo.
- Medible: Se puede medir el éxito o cumplimiento del criterio al verificar si todos los registros están unificados y organizados por fecha.
- Alcanzable: Es factible de lograr, ya que es una tarea que se puede realizar con el adecuado sistema",,
1171205,Tribu API Canales y transaccional producto,"Que cada archivo quede nombrado con la fecha en formato aÃ±o, mes dÃ­a como sufijo, antes de la extensión",,Criterio de aceptación,1141130,,03/03/2025 13:59,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin (Given/When/Then) o (Dado/Cuando/Entonces) ya que no sigue la estructura de ""Dado/Cuando/Entonces"" ni presenta los elementos de un escenario, acción y resultado esperado. El texto solo describe una instrucción general sobre el nombramiento de archivos.","SÍ cumple SMART. Respuesta LLM: Sí. Específico: Se indica claramente cómo deben nombrarse los archivos.
Sí. Medible: Se puede verificar si cada archivo ha sido nombrado correctamente o no.
Sí. Alcanzable: Es un objetivo que puede ser cumplido por los responsables.
Sí. Relevante: El nombrar los archivos de esta manera facilita su organización y búsqueda.
No. Tiempo definido: No se especifica un pl",,
1171203,Tribu API Canales y transaccional producto,"Que se permita generar los 4 archivos: Novedades, bloqueo, activación y activación cafetera",,Criterio de aceptación,1141130,,03/03/2025 13:49,,0.0,0.0,10.0,0.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,45.0,criterios de aceptación,,,"NO cumple Gherkin. Respuesta LLM: No. El texto no está en formato Gherkin (Given/When/Then) ya que no se están realizando afirmaciones específicas de acciones y resultados esperados. En su lugar, se está mencionando un conjunto de archivos que se deben generar.","SÍ cumple SMART. Respuesta LLM: Sí. El criterio es SMART porque es específico al detallar los 4 archivos que se deben generar, es medible al poder verificar si se cumple o no, es alcanzable al ser una tarea posible de realizar, es relevante para el objetivo del proyecto y no se menciona un tiempo definido en el resumen del criterio.",,
1169715,Tribu API Canales y transaccional producto,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo  No deben existir trxs realizadas en el Canal  interno M.E. (Medios Electronicos) entonces se deben informar porque estas trxs se deben reportar en el archivo RECME",,Criterio de aceptación,1090015,,28/02/2025 15:14,03/03/2025 18:15,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí. 

El texto está en formato Gherkin dado que sigue la estructura de Given/When/Then. Se plantea un escenario inicial (Dado que se necesita verificar la malla RECCB), se describe una acción que se realizará (Cuando se genere el archivo) y se especifica una consecuencia esperada (entonces se deben informar porque estas trxs se deben reportar en el archivo RECME).","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART. Es específico al indicar qué se necesita verificar, es medible al poder determinar si existen trxs en el Canal interno M.E., es alcanzable al poder verificar esta condición, es relevante al ser una información importante para el proceso, y tiene un tiempo definido al indicar que debe realizarse cuando se genere el archivo.",,
1169714,Tribu API Canales y transaccional producto,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo con las trxs realizadas en el Canal  C. B. entonces se deben identificar que las trxs  Cara Debito No bajen al archivo RECCB",,Criterio de aceptación,1090015,,28/02/2025 15:14,03/03/2025 18:15,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí, el texto está en formato Gherkin (Dado/Cuando/Entonces) porque presenta claramente una condición inicial (Dado que), una acción (Cuando) y una consecuencia esperada (Entonces).","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART. 

- Específico: Se necesita verificar que las trxs Cara Debito no bajen al archivo RECCB.
- Medible: Se puede verificar si las transacciones de Cara Debito están presentes o no en el archivo RECCB.
- Alcanzable: Es factible realizar la verificación de las transacciones.
- Relevante: Es relevante para el objetivo de evitar que las transacciones incorrect",,
1169713,Tribu API Canales y transaccional producto,"Dado que: se necesita verificar la malla RECCB, Cuando se genere el archivo con las trxs realizadas en el Canal  C. B. entonces se deben identificar que las trxs  Cara CrÃ©dito bajen al archivo RECCB",,Criterio de aceptación,1090015,,28/02/2025 15:14,03/03/2025 18:15,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: Sí. 

El texto está siguiendo el formato de Given/When/Then, donde se establece un contexto inicial (""Dado que: se necesita verificar la malla RECCB""), una acción que se realiza (""Cuando se genere el archivo con las trxs realizadas en el Canal C. B."") y una consecuencia esperada (""entonces se deben identificar que las trxs Cara CrÃ©dito bajen al archivo RECCB"").","SÍ cumple SMART. Respuesta LLM: No.

- Específico: Sí, se menciona claramente qué se necesita verificar.
- Medible: Sí, se puede medir si las transacciones correctas bajan al archivo RECCB.
- Alcanzable: Sí, es posible verificar si las transacciones son las adecuadas.
- Relevante: Sí, es relevante para el proceso en cuestión.
- Tiempo definido: No se menciona un pl",,
1168922,Tribu API Canales y transaccional producto,Que se realice la comparación adecuadamente con el archivo generado,"Dado que: Necesito que se genere y transmita el archivo RECCB de forma consistente
Cuando: Se realiza el envÃ­o del archivo hacia liquidador
Entonces: Espero que se realice la comparación adecuadamente con el archivo generado",Criterio de aceptación,1090015,,27/02/2025 22:48,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no está en formato Given/When/Then (Dado/Cuando/Entonces). No presenta claramente una situación inicial (Given/Dado), una acción o evento (When/Cuando) y un resultado esperado (Then/Entonces).","SÍ cumple SMART. Respuesta LLM: Sí. Este criterio de aceptación es SMART:
- Específico: Se refiere a realizar una comparación adecuada con un archivo generado.
- Medible: Se puede medir si la comparación se realiza correctamente o no.
- Alcanzable: Es factible realizar esta comparación.
- Relevante: Es importante para asegurar la correcta ejecución de la tarea.
- Tiempo definido: No se especifica un plazo exacto,",,
1168921,Tribu API Canales y transaccional producto,Que exista jar que realiza el conteo de registros en la vista que genera el archivo RECCB,"Dado que: Necesito que se genere y transmita el archivo RECCB de forma consistente

Cuando: Se realiza el envÃ­o del archivo hacia liquidador

Entonces: Espero que exista un Jar que realice el conteo de registros en la vista que genera el archivo RECCB",Criterio de aceptación,1090015,,27/02/2025 22:45,,0.0,0.0,10.0,20.0,10.0,0.0,5.0,10.0,5.0,5.0,0.0,65.0,criterios de aceptación,,,"SÍ cumple Gherkin. Respuesta LLM: No. El texto no sigue el formato Given/When/Then ni Dado/Cuando/Entonces. No hay ninguna acción concreta que se esté describiendo con un contexto inicial, una acción y un resultado esperado. El texto simplemente menciona una función o característica de un ""jar"" sin establecer una estructura clara de pasos.","SÍ cumple SMART. Respuesta LLM: Sí, es un criterio SMART.
- Específico: Se especifica claramente qué se debe lograr (existencia de un jar que realice el conteo de registros en la vista que genera el archivo RECCB).
- Medible: La medición será realizando el conteo de registros en la vista.
- Alcanzable: Es factible desarrollar un jar que realice esta función.
- Relevante: La funcionalidad es relev",,
